platform,operation,file_count,file_size,total_size_mb,elapsed_time,speed_mbps,concurrent_ops,iteration,status
AWS S3,upload,50,102400,4.8828125,0.3478708267211914,14.03628049532718,25,2,success
Azure Blob Storage,upload,50,102400,4.8828125,0.9676010608673096,5.046307509856685,25,2,success
AWS S3,download,50,102400,4.8828125,0.32775282859802246,14.897850068560663,25,2,success
Azure Blob Storage,download,50,102400,4.8828125,0.6262149810791016,7.797342202810089,25,2,success
AWS S3,upload,50,102400,4.8828125,0.33939409255981445,14.386851766252997,25,3,success
Azure Blob Storage,upload,50,102400,4.8828125,1.2068259716033936,4.045995541107453,25,3,success
AWS S3,download,50,102400,4.8828125,0.26122593879699707,18.69191291832054,25,3,success
Azure Blob Storage,download,50,102400,4.8828125,0.7147712707519531,6.831293729619529,25,3,success
AWS S3,upload,50,102400,4.8828125,0.3436741828918457,14.207679084048689,50,1,success
Azure Blob Storage,upload,50,102400,4.8828125,0.9234018325805664,5.2878522954133045,50,1,success
AWS S3,download,50,102400,4.8828125,0.312269926071167,15.636512172123794,50,1,success
Azure Blob Storage,download,50,102400,4.8828125,0.5559670925140381,8.78255667600814,50,1,success
AWS S3,upload,50,102400,4.8828125,0.3749372959136963,13.023010922668877,50,2,success
Azure Blob Storage,upload,50,102400,4.8828125,0.7821221351623535,6.243030698762185,50,2,success
AWS S3,download,50,102400,4.8828125,0.3540158271789551,13.792638987103075,50,2,success
Azure Blob Storage,download,50,102400,4.8828125,0.636411190032959,7.672417733175189,50,2,success
AWS S3,upload,50,102400,4.8828125,0.35854005813598633,13.618596832346295,50,3,success
Azure Blob Storage,upload,50,102400,4.8828125,0.9803071022033691,4.980900871803577,50,3,success
AWS S3,download,50,102400,4.8828125,0.28220605850219727,17.302295088615125,50,3,success
Azure Blob Storage,download,50,102400,4.8828125,0.6413331031799316,7.613535736405117,50,3,success
AWS S3,upload,100,102400,9.765625,0.6690101623535156,14.597125050605268,10,1,success
Azure Blob Storage,upload,100,102400,9.765625,0.9148001670837402,10.67514562347698,10,1,success
AWS S3,download,100,102400,9.765625,0.7933521270751953,12.309319741792786,10,1,success
Azure Blob Storage,download,100,102400,9.765625,0.7507083415985107,13.008547339710782,10,1,success
AWS S3,upload,100,102400,9.765625,0.7678499221801758,12.71814285306198,10,2,success
Azure Blob Storage,upload,100,102400,9.765625,0.8449161052703857,11.558100193716694,10,2,success
AWS S3,download,100,102400,9.765625,0.5794570446014404,16.85306113884067,10,2,success
Azure Blob Storage,download,100,102400,9.765625,0.7823598384857178,12.482267774508564,10,2,success
AWS S3,upload,100,102400,9.765625,0.7124581336975098,13.706945767210817,10,3,success
Azure Blob Storage,upload,100,102400,9.765625,1.1136162281036377,8.76929120962053,10,3,success
AWS S3,download,100,102400,9.765625,0.5622920989990234,17.367530181171833,10,3,success
Azure Blob Storage,download,100,102400,9.765625,0.7921040058135986,12.328715583213564,10,3,success
AWS S3,upload,100,102400,9.765625,0.7266690731048584,13.438888981849953,25,1,success
Azure Blob Storage,upload,100,102400,9.765625,1.0527870655059814,9.275973575251449,25,1,success
AWS S3,download,100,102400,9.765625,0.5416240692138672,18.030264079981123,25,1,success
Azure Blob Storage,download,100,102400,9.765625,0.7644791603088379,12.774220027207592,25,1,success
AWS S3,upload,100,102400,9.765625,0.7079780101776123,13.793684068732688,25,2,success
